governorate,use,2012,2013,2014,2015,2016,2017,2018,2019
Muscat,Residential,7984,7308,9349,8926,7667,3768,6137,2534
Muscat,Commercial,40,34,83,79,33,17,73,25
Muscat,Commercial/ Residential,711,723,940,955,899,426,876,226
Muscat,Industrial,216,266,366,324,295,161,250,93
Muscat,Agricultural,32,46,57,56,22,12,24,23
Dhofar,Residential,1632,1147,1231,695,1762,795,860,874
Dhofar,Commercial,87,68,90,15,17,12,31,55
Dhofar,Commercial/ Residential,29,33,49,4,32,53,13,22
Dhofar,Industrial,53,39,77,6,60,13,39,43
Dhofar,Agricultural,4,1,1,1,4,3,2,3
Musandam,Residential,616,590,483,506,364,279,242,181
Musandam,Commercial,6,8,5,17,0,0,2,4
Musandam,Commercial/ Residential,25,21,14,33,17,15,16,12
Musandam,Industrial,15,20,13,12,20,5,9,3
Musandam,Agricultural,28,36,46,36,17,9,24,2
Al - Buraymi,Residential,987,748,755,709,626,461,393,487
Al - Buraymi,Commercial,10,9,8,2,4,7,5,6
Al - Buraymi,Commercial/ Residential,66,54,41,34,23,19,20,25
Al - Buraymi,Industrial,10,10,11,11,12,15,16,4
Al - Buraymi,Agricultural,0,11,4,1,7,5,6,4
Al - Dakhliyah,Residential,3807,3550,3672,3688,3574,3336,3587,2799
Al - Dakhliyah,Commercial,26,46,37,28,53,44,56,43
Al - Dakhliyah,Commercial/ Residential,162,201,164,231,208,210,323,131
Al - Dakhliyah,Industrial,74,67,90,101,97,84,106,66
Al - Dakhliyah,Agricultural,115,140,182,186,176,232,407,246
Al - Batinah South,Residential,4160,3638,4108,4553,4436,4131,3172,3606
Al - Batinah South,Commercial,114,134,165,221,222,235,37,36
Al - Batinah South,Commercial/ Residential,240,261,210,273,307,282,224,133
Al - Batinah South,Industrial,148,160,114,142,172,159,108,127
Al - Batinah South,Agricultural,172,193,250,265,217,198,306,213
Al - Sharqiyah South,Residential,2413,2766,2456,2408,2547,2181,1483,1779
Al - Sharqiyah South,Commercial,15,23,26,37,30,66,9,15
Al - Sharqiyah South,Commercial/ Residential,109,118,116,138,148,206,120,131
Al - Sharqiyah South,Industrial,47,36,54,25,52,64,45,50
Al - Sharqiyah South,Agricultural,14,13,34,21,9,16,33,34
Al - Sharqiyah North,Residential,3220,3001,2317,2391,2960,2257,1374,1733
Al - Sharqiyah North,Commercial,142,111,66,32,34,54,38,33
Al - Sharqiyah North,Commercial/ Residential,207,209,241,284,241,208,86,77
Al - Sharqiyah North,Industrial,180,158,101,47,36,31,37,37
Al - Sharqiyah North,Agricultural,63,27,32,8,9,24,47,86
Al - Dhahira,Residential,1739,1611,1746,1890,1960,1679,1358,1322
Al - Dhahira,Commercial,60,110,318,222,222,207,22,37
Al - Dhahira,Commercial/ Residential,140,184,429,277,255,266,115,74
Al - Dhahira,Industrial,44,80,145,76,134,143,50,33
Al - Dhahira,Agricultural,185,249,501,219,286,267,181,150
Al - Wusta,Residential,746,536,199,195,235,157,140,222
Al - Wusta,Commercial,20,15,19,6,33,12,8,10
Al - Wusta,Commercial/ Residential,66,30,17,30,39,37,41,49
Al - Wusta,Industrial,12,11,4,6,28,14,16,79
Al - Wusta,Agricultural,2,2,0,0,1,0,4,5
Al - Batinah North,Residential,5960,5215,5046,5240,5737,5105,5135,4470
Al - Batinah North,Commercial,76,134,130,106,183,100,124,56
Al - Batinah North,Commercial/ Residential,157,258,273,218,380,386,490,254
Al - Batinah North,Industrial,159,277,416,290,328,347,304,184
Al - Batinah North,Agricultural,255,320,232,165,237,236,334,283
